,Company,Brand,Appliance,Energy Consumption,SKU
0,Whirlpool Corporation,Indesit Company,Toaster,425W,SKU-87218
1,The Middleby Corporation,Marvel,Kettle,475W,SKU-98116
2,AB Electrolux / Investor AB,Zanker,Refrigerator,0,SKU-71525
3,AB Electrolux / Investor AB,Olympic Group,Kettle,0,SKU--95743
4,Meneghetti S.p.A,Fulgor Milano,Kettle,,SKU-17844
5,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Refrigerator,250W,SKU-73517
6,Candy Group,Rosières,Washer,120W,SKU-81114
7,Dayou Group,Daewoo,Refrigerator,415,SKU-75506
8,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Freezer,,SKU-49921
9,Gorenje,Etna,Kettle,200,SKU-24661
10,Candy Group,Zerowatt,Stove,,SKU-2778
11,AB Electrolux / Investor AB,Olympic Group,Toaster,,SKU-66961
12,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Stove,300W,SKU-11814
13,Whirlpool Corporation,Indesit Company,Kettle,425W,SKU-3762
14,Arçelik A.Ş. / Koç Holding,Arçelik,Freezer,0,SKU-45429
15,Gorenje,Mora,Toaster,300W,SKU-95256
16,"Indesit Company, Whirlpool Corporation",Scholtès,Freezer,415,SKU-88625
17,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Kettle,415,SKU-10252
18,AB Electrolux / Investor AB,Mademsa,Freezer,300W,SKU-56723
19,Arçelik A.Ş. / Koç Holdin,Beko,Freezer,300W,SKU-4058
20,Whirlpool Corporation,Roper,Freezer,0,SKU-8434
21,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Toaster,,SKU-33097
22,Whirlpool Corporation,Gladiator GarageWorks,Kettle,425W,SKU-46287
23,AB Electrolux / Investor AB,Arthur Martin,Dryer,415,SKU-74256
24,Montpellier Domestic Appliances Ltd,Montpellier,Stove,,SKU-12414
25,"Indesit Company, Whirlpool Corporation",Scholtès,Toaster,,SKU-43533
26,Candy Group,Otsein Hoover,Dryer,,SKU-52425
27,AB Electrolux / Investor AB,REX-Electrolux,Toaster,425W,SKU-20315
28,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Kettle,325W,SKU-86027
29,AB Electrolux / Investor AB,REX-Electrolux,Toaster,500W,SKU-19465
30,AB Electrolux / Investor AB,Tappan,Dryer,400W,SKU-45203
31,Fnac,ProLine,Dryer,325W,SKU77417
32,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Washer,475W,SKU-31643
